id,name,desc,type,domain,vega,cq
140,com.juanpi.spi.order.service.OrderQueryService#queryEsbOrderGoodsList,异构系统集成查询指定订单的商品的列表,order,order,0,
141,com.juanpi.spi.order.service.OrderQueryService#queryEsbOrderAddress,异构系统集成查询指定订单的的地址,order,order,0,
142,com.juanpi.spi.order.service.OrderQueryService#queryEsbOrder,异构系统集成查询指定订单的订单信息,order,order,0,
143,com.juanpi.spi.order.service.OrderQueryService#updateAfterSaleOrderSoiType,售后单打标优化项目,order,order,0,
144,com.juanpi.spi.order.service.OrderQueryService#updataVirtualOrderInfo,转换虚拟订单状态到结束状态,order,order,0,
145,com.juanpi.spi.order.service.OrderQueryService#updateImportFlagByOrderNo,,order,order,0,
146,com.juanpi.spi.order.service.OrderQueryService#querySubOrderInfosByMainOrderNo,根据主单号查询该主单拆单后的子单信息列表,order,order,0,
147,com.juanpi.spi.order.service.OrderQueryService#queryGrantCoinToMktForAmountByOrderNo,根据订单号查询卷币发放传给营销的金额计算,order,order,0,
148,com.juanpi.spi.order.service.OrderRefundQueryService#queryOrderRefundOrderNos,分页查询异常退款订单号,order,order,0,
149,com.juanpi.spi.order.service.OrderRefundQueryService#queryOrderRefundList,分页查询异常退款列表,order,order,0,
150,com.juanpi.spi.order.service.OrderRefundQueryService#queryOrderRefundByOrderNo,根据订单号或者异常退款id查询异常退款详细信息,order,order,0,
151,com.juanpi.spi.order.service.OrderSplitService#splitMainOrder,拆主订单,order,order,0,
152,com.juanpi.spi.order.service.OrderStatisticsService#insertStatistics,,order,order,0,
153,com.juanpi.spi.order.service.OrderStatisticsService#queryStatisticsByAbId,根据活动id查询,order,order,0,
154,com.juanpi.spi.order.service.OrderStatisticsService#queryMutipleUnpayByUserId,根据用户id查询未支付数量,order,order,0,
155,com.juanpi.spi.order.service.OrderStatisticsService#updateUnPayByUserId,直接更新未支付的订单,order,order,0,
156,com.juanpi.spi.order.service.OrderWarehouseService#putOrderNosToWarehouse(java.util.Set<java.lang.String>),订单号入仓，写入redis,order,order,0,
157,com.juanpi.spi.order.service.OrderWarehouseService#putOrderNosToWarehouse(java.lang.String),订单号入仓，写入redis,order,order,0,
158,order.message.updatePintuanOrderStatus2Normal4DeliveryMessage,,order,order,0,
159,order.message.ReduceSkuStockMessage,,order,order,0,
160,order.message.OrderToFraudMessage,,order,order,0,
161,order.message.OrderRecoverCouponMessage,,order,order,0,
162,order.message.Split,,order,order,0,
163,order.message.NormalCompletedSplit,,order,order,0,
164,job.order.fifteen.send.sms,,order,order,0,
165,job.order.push.sms,,order,order,0,
166,job.order.thirty.cancel,,order,order,0,
167,job.order.twelve.cancel,,order,order,0,
168,order.message.GoodsIncreaseStoreMessage,,order,order,0,
169,order.message.GoodsDeductStoreMessage,,order,order,0,
170,order.message.CreatePinTuanOrderMessage,,order,order,0,
171,order.message.CreateOrderReissueMessage,,order,order,0,
172,order.message.CreateOrderExchangeMessage,,order,order,0,
173,order.message.CreateInterOrderMessage,,order,order,0,
174,order.message.CompletedWalletPayMessage,,order,order,0,
175,order.message.CompletedPintuan,,order,order,0,
